Date of Offense,Time of Offense,Date Offense Reported,Report Year,Month,CCN,District,Block Location,Type of Hate Bias,Targeted Group,Top Offense Type,Address,gcode,lat,long,zipcodes
2018-11-07,1835,2018-11-07,2018,11,18189444,2,2900 B/O Chain Bridge Rd NW,Political Affiliation,Not Reported,Damage/Defacing/Destruction of Property,2900  Chain Bridge Rd NW Washington DC,"2900, Chain Bridge Road Northwest, Palisades, Washington, District of Columbia, 20016, United States",38.92879294585744,-77.09574677745665,20016
2018-11-10,250,2018-11-10,2018,11,18191100,3,1700 B/O U St NW,Sexual Orientation,Not Reported,ADW,1700  U St NW Washington DC,"1700, U Street Northwest, Dupont Circle, Washington, District of Columbia, 20009, United States",38.9168491,-77.0387205,20009
2018-11-10,1200,2018-11-10,2018,11,18191533,3,1400 B/O Florida Ave NW,Sexual Orientation,Not Reported,Damage/Defacing/Destruction of Property,1400  Florida Ave NW Washington DC,"1400, Florida Avenue Northwest, Greater U Street Historic District, Washington, District of Columbia, 20009, United States",38.919953,-77.032064,20009
2018-11-11,1627,2018-11-11,2018,11,18191948,5,3100 B/O South Dakota Ave NE,Sexual Orientation,Not Reported,Simple Assault,3100  South Dakota Ave NE Washington DC,"Pentecostal Church of God, 3100, South Dakota Avenue Northeast, Washington, District of Columbia, 20018, United States",38.92993125,-76.97047649519999,20018
2018-11-11,1632,2018-11-11,2018,11,18191978,2,1900 B/O Q St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,1900  Q St NW Washington DC,"Rakuya, 1900, Q Street Northwest, Dupont Circle and surrunding block, Dupont Circle, Washington, District of Columbia, 20009, United States",38.9109932,-77.0436569,20009
2018-11-13,1415,2018-11-13,2018,11,18193046,5,1800 B/O West Virginia Ave NE,Gender Identity/Expression,Not Reported,Assault w/Significant Bodily Injury,1800  West Virginia Ave NE Washington DC,"1800, West Virginia Avenue Northeast, Ivy City, Washington, District of Columbia, 20002, United States",38.910863,-76.985455,20002
2018-11-16,1918,2018-11-16,2018,11,18195111,1,1000 B/O 4th St SW,Political Affiliation,Not Reported,Damage/Defacing/Destruction of Property,1000  4th St SW Washington DC,"1000, 4th Street Southwest, Southwest Waterfront, Washington, District of Columbia, 20024, United States",38.8788402929293,-77.01744807070708,20024
2018-11-16,2358,2018-11-17,2018,11,18195310,2,1200 B/O 28th ST NW,Ethnicity/National Origin,Arab/Middle Eastern,Robbery,1200  28th ST NW Washington DC,"1200, 28th Street Northwest, Georgetown, Washington, District of Columbia, 20007, United States",38.905351,-77.057124,20007
2018-11-18,1809,2018-11-18,2018,11,18196360,2,3000 B/O McKInley St NW,Ethnicity/National Origin,Jewish,Displaying Symbols,3000  McKInley St NW Washington DC,"3000, McKinley Street Northwest, Chevy Chase, Washington, District of Columbia, 20015, United States",38.964824,-77.061849,20015
2018-11-19,282,2018-11-19,2018,11,18196690,4,1600 B/O Jonquil St NW,Religion,Jewish,Stalking,1600  Jonquil St NW Washington DC,"Ohev Sholom - National Synagogue, 1600, Jonquil Street Northwest, Colonial Village, Shepherd Park, Washington, District of Columbia, 20012, United States",38.9839473,-77.03688837394179,20012
2018-11-20,1157,2018-11-20,2018,11,18197504,2,4200 B/O Davenport St NW,Ethnicity/National Origin,Jewish,Displaying Symbols,4200  Davenport St NW Washington DC,"Georgetown Day School, 4200, Davenport Street Northwest, Friendship Heights, Washington, District of Columbia, 20016, United States",38.95224175,-77.08347882872826,20016
2018-11-24,2019,2018-11-24,2018,11,18199839,3,1700 B/O Columbia Rd NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault,1700  Columbia Rd NW Washington DC,"Ontario 17, 1700, Columbia Road Northwest, Washington, District of Columbia, 20009, United States",38.92458325,-77.03931988363308,20009
2018-11-28,1957,2018-11-28,2018,11,18202245,2,3600 B/O Cumberland St NW,Race,Black,Simple Assault,3600  Cumberland St NW Washington DC,"3600, Cumberland Street Northwest, North Cleveland Park, American University Park, Washington, District of Columbia, 20008, United States",38.95133,-77.070001,20016
2018-11-29,1956,2018-11-29,2018,11,18202971,3,1700 B/O Euclid St NW,Race,Black,Damage/Defacing/Destruction of Property,1700  Euclid St NW Washington DC,"1700, Euclid Street Northwest, Adams Morgan, Washington, District of Columbia, 20009, United States",38.923073,-77.039147,20009
2018-12-01,438,2018-12-01,2018,12,18203912,5,1300 B/O 2nd St NE,Gender Identity/Expression,Not Reported,Threats,1300  2nd St NE Washington DC,"a Deli DC, 1300, 2nd Street Northeast, NoMa, Near Northeast, Washington, District of Columbia, 20002, United States",38.9080903,-77.0036534,20002
2018-12-09,4,2018-12-09,2018,12,18208672,3,1600 B/O U St NW,Sexual Orientation,Not Reported,Simple Assault,1600  U St NW Washington DC,"Local 16, 1600, U Street Northwest, Dupont Circle, Washington, District of Columbia, 20009, United States",38.9167985,-77.0370718,20009
2018-12-11,1912,2018-12-11,2018,12,18210281,5,800 B/O Florida Ave NE,Religion,Muslim,Stalking,800  Florida Ave NE Washington DC,"Chapel Hall, 800, Florida Avenue Northeast, Washington, District of Columbia, 20002, United States",38.90574585,-76.99488754604664,20002
2018-12-13,1827,2018-12-13,2018,12,18211517,2,2300 B/O K St NW,Ethnicity/National Origin,Jewish,Displaying Symbols,2300  K St NW Washington DC,"K Street NW (access road), Golden Triangle, Washington, District of Columbia, 20006-5346, United States",38.9023954,-77.0424297,20006
2018-12-14,2330,2018-12-15,2018,12,18212348,3,2900 B/O 14th St NW,Gender Identity/Expression,Not Reported,Threats,2900  14th St NW Washington DC,"2900, 14th Street Northwest, Columbia Heights, Washington, District of Columbia, 20009, United States",38.926689,-77.032523,20009
2018-12-16,315,2018-12-16,2018,12,18213058,2,Unit B/O Dupont Cir NW,Ethnicity/National Origin,Arab/Middle Eastern,Simple Assault,  Dupont Cir NW Washington DC,"Dupont Circle Northwest, Dupont Circle and surrunding block, Dupont Circle, Washington, District of Columbia, 20036, United States",38.9091496,-77.0439183,20036
2018-12-18,1710,2018-12-18,2018,12,18214628,2,1800 B/O M St NW,Race,Black,Threats,1800  M St NW Washington DC,"Capital One, 1800, M Street Northwest, Golden Triangle, Washington, District of Columbia, 20036, United States",38.905422,-77.0422081,20036
2018-12-18,2136,2018-12-18,2018,12,18214747,2,1100 B/O 23rd St NW,Race,Black,Damage/Defacing/Destruction of Property,1100  23rd St NW Washington DC,"Bluestone Lane, 1100, 23rd Street Northwest, West End, Washington, District of Columbia, 20037, United States",38.9038984,-77.0503791,20037
2018-12-19,1745,2018-12-19,2018,12,18215198,2,Unit B/O Dupont Cir NW,Religion,Muslim,Simple Assault,  Dupont Cir NW Washington DC,"Dupont Circle Northwest, Dupont Circle and surrunding block, Dupont Circle, Washington, District of Columbia, 20036, United States",38.9091496,-77.0439183,20036
2018-12-23,38,2018-12-23,2018,12,18217302,4,1100 B/O Spring Rd NW,Religion,Muslim,Threats,1100  Spring Rd NW Washington DC,"1100, Spring Road Northwest, Washington, District of Columbia, 20010, United States",38.935925,-77.028675,20010
2018-12-24,1325,2018-12-24,2018,12,18218031,3,1600 B/O Kalmia RD NW,Ethnicity/National Origin,Asian,Simple Assault,1600  Kalmia RD NW Washington DC,"1600, Kalmia Road Northwest, Colonial Village, Shepherd Park, Washington, District of Columbia, 20012, United States",38.98561,-77.03652,20012
2018-12-27,1730,2018-12-28,2018,12,18220101,2,1100 B/O 19th St NW,Gender Identity/Expression,Not Reported,Threats,1100  19th St NW Washington DC,"1100, 19th Street Northwest, Golden Triangle, Washington, District of Columbia, 20036, United States",38.903868,-77.043558,20005
2018-12-30,45,2018-12-30,2018,12,18220971,1,1800 B/O Half St SW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault,1800  Half St SW Washington DC,"1800, Half Street Southwest, Buzzard Point, Washington, District of Columbia, 20024, United States",38.86742098039216,-77.01058496078431,20024
2018-12-30,245,2018-12-30,2018,12,18221059,6,1600 B/O 17th Pl SE,Sexual Orientation,Not Reported,ADW,1600  17th Pl SE Washington DC,"1600, 17th Place Southeast, Fairlawn, Washington, District of Columbia, 20020, United States",38.870621,-76.979798,20020
2019-01-01,1700,2019-01-01,2019,1,19000642,2,1700 B/O P St NW,Ethnicity/National Origin,Latino/Hispanic,Threats,1700  P St NW Washington DC,"1700, P Street Northwest, Logan Circle/Shaw, Dupont Circle, Washington, District of Columbia, 20036, United States",38.909561,-77.038644,20009
2019-01-01,52,2019-01-03,2019,1,19001623,2,3000 B/O K St NW,Ethnicity/National Origin,Arab/Middle Eastern,Simple Assault,3000  K St NW Washington DC,"Bangkok Joe's, 3000, K Street Northwest, Georgetown, Washington, District of Columbia, 20566, United States",38.9020514,-77.0599256,20566
2019-01-04,1406,2019-01-04,2019,1,19002287,5,1100 B/O Owen Pl NE,Gender Identity/Expression,Not Reported,Simple Assault,1100  Owen Pl NE Washington DC,"1100, Owen Place Northeast, Ivy City, Washington, District of Columbia, 20002, United States",38.90685,-76.9897,20002
2019-01-11,2214,2019-01-10,2019,1,19006769,7,2200 B/O Savannah Ter SE,Ethnicity/National Origin,Latino/Hispanic,Robbery,2200  Savannah Ter SE Washington DC,"2200, Savannah Terrace Southeast, Shipley, Washington, District of Columbia, 20020, United States",38.849622,-76.972954,20020
2019-01-13,1908,2019-01-13,2019,1,19007623,7,1100 B/O Alabama Ave SE,Sexual Orientation,Not Reported,Simple Assault,1100  Alabama Ave SE Washington DC,"1100, Alabama Avenue Southeast, Washington, District of Columbia, 20032, United States",38.844421,-76.990461,20020
2019-01-16,2052,2019-01-16,2019,1,19009200,3,900 B/O U St NW,Race,Black,Threats,900  U St NW Washington DC,"900, U Street Northwest, Greater U Street Historic District, Washington, District of Columbia, 20001, United States",38.916912,-77.024114,20009
2019-01-17,1044,2019-01-17,2019,1,19009463,5,3300 B/O 12th ST NE,Race,White,Simple Assault,3300  12th ST NE Washington DC,"3300, 12th Street Northeast, Brookland, Washington, District of Columbia, 20017, United States",38.930685,-76.990955,20017
2019-01-27,2030,2019-01-27,2019,1,19015763,5,1600 B/O West Virginia Ave NE,Sexual Orientation,Not Reported,Simple Assault,1600  West Virginia Ave NE Washington DC,"1600, West Virginia Avenue Northeast, Ivy City, Washington, District of Columbia, 20002, United States",38.909133,-76.98744,20002
2019-01-29,613,2019-01-29,2019,1,19016527,4,3300 B/O Sherman Ave NW,Gender Identity/Expression,Not Reported,Threats,3300  Sherman Ave NW Washington DC,"3300, Sherman Avenue Northwest, Pleasant Plains, Washington, District of Columbia, 20010, United States",38.930894,-77.026645,20010
2019-01-30,2100,2019-01-30,2019,1,19017588,7,500 B/O Mellon St SE,Gender Identity/Expression,Not Reported,ADW,500  Mellon St SE Washington DC,"500, Mellon Street Southeast, Congress Heights, Washington, District of Columbia, 20032, United States",38.847162,-76.999651,20032
2019-02-02,940,2019-02-02,2019,2,19019045,3,1600 B/O Park Rd NW,Sexual Orientation,Not Reported,Threats,1600  Park Rd NW Washington DC,"1600, Park Road Northwest, Mount Pleasant, Washington, District of Columbia, 20010, United States",38.931632,-77.036645,20010
2019-02-03,220,2019-02-03,2019,2,19019484,6,3700 B/O Benning Rd NE,Sexual Orientation,Not Reported,Simple Assault,3700  Benning Rd NE Washington DC,"3700, Benning Road Northeast, Washington, District of Columbia, 20019, United States",38.895572,-76.950834,20019
2019-02-05,1909,2019-02-05,2019,2,19021139,6,4000 B/O Minnesota Ave NE,Sexual Orientation,Not Reported,Threats,4000  Minnesota Ave NE Washington DC,"4000, Minnesota Avenue Northeast, Central Northeast, Washington, District of Columbia, 20019, United States",38.89528,-76.94918,20019
2019-02-08,48,2019-02-08,2019,2,19022625,3,1400 B/O Clifton St NW,Ethnicity/National Origin,Black,Simple Assault,1400  Clifton St NW Washington DC,"1400, Clifton Street Northwest, Columbia Heights, Washington, District of Columbia, 20009, United States",38.922595,-77.032185,20009
2019-02-10,309,2019-02-10,2019,2,19023967,3,1800 B/O Columbia Rd NW,Ethnicity/National Origin,Arab/Middle Eastern,Simple Assault,1800  Columbia Rd NW Washington DC,"1800, Columbia Road Northwest, Adams Morgan, Washington, District of Columbia, 20009, United States",38.922519,-77.042737,20009
2019-02-12,1739,2019-02-12,2019,2,19025342,4,3700 B/O Georgia Ave NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault,3700  Georgia Ave NW Washington DC,"3700, Georgia Avenue Northwest, Petworth, Washington, District of Columbia, 20012, United States",38.937121,-77.0247125,20010
2019-02-14,1952,2019-02-15,2019,2,19026746,1,Unit B/O E St NE,Ethnicity/National Origin,Non-European,Damage/Defacing/Destruction of Property,  E St NE Washington DC,"E Street Northeast, Kingman Park, Washington, District of Columbia, 20002, United States",38.896111,-76.980712,20002
2019-02-16,2341,2019-02-17,2019,2,19028126,3,2300 B/O 18th St NW,Sexual Orientation,Not Reported,Simple Assault,2300  18th St NW Washington DC,"The Madrid, 2300, 18th Street Northwest, Adams Morgan, Washington, District of Columbia, 20009, United States",38.9199289,-77.04199528390282,20009
2019-02-18,2025,2019-02-20,2019,2,19029102,1,600 B/O H St NE,Sexual Orientation,Not Reported,Simple Assault,600  H St NE Washington DC,"Fancy Radish, 600, H Street Northeast, Near Northeast, Washington, District of Columbia, 20002, United States",38.9003885,-76.9969054,20002
2019-02-23,326,2019-02-23,2019,2,19031660,3,1900 B/O 9th St NW,Sexual Orientation,Not Reported,Threats,1900  9th St NW Washington DC,"1900, 9th Street Northwest, Greater U Street Historic District, Washington, District of Columbia, 20001, United States",38.915694,-77.024069,20009
2019-02-24,2025,2019-02-24,2019,2,19032598,7,1500 B/O Savannah St SE,Gender Identity/Expression,Not Reported,Robbery,1500  Savannah St SE Washington DC,"1500, Savannah Street Southeast, Douglass, Washington, District of Columbia, 20032, United States",38.844745,-76.983191,20032
2019-02-25,1635,2019-02-25,2019,2,19033038,4,4900 B/O Arkansas Ave NW,Race,Black,ADW,4900  Arkansas Ave NW Washington DC,"4900, Arkansas Avenue Northwest, Brightwood Park, Washington, District of Columbia, 20011, United States",38.949883,-77.028888,20011
2019-02-14,1530,2019-02-26,2019,2,19033032,2,1100 B/O 15th St NW,Race,Black,Threats,1100  15th St NW Washington DC,"15th Street Northwest, Washington, District of Columbia, 20005, United States",38.9007003,-77.0336365,20005
2019-02-26,532,2019-02-26,2019,2,19033338,2,1400 B/O P St NW,Ethnicity/National Origin,Latino/Hispanic,Threats,1400  P St NW Washington DC,"1400, P Street Northwest, Logan Circle/Shaw, Dupont Circle, Washington, District of Columbia, 20005, United States",38.909568,-77.032109,20005
2019-02-27,1240,2019-02-27,2019,2,19034101,6,900 B/O Eastern Ave NW,Gender Identity/Expression,Not Reported,ADW,900  Eastern Ave NW Washington DC,"Eastern Avenue Northwest, Shepherd Park, Washington, Montgomery County, District of Columbia, 20910, United States",38.9919323,-77.0360419,20910
2019-03-02,930,2019-03-02,2019,3,19035905,3,1900 B/O 2nd ST NW,Ethnicity/National Origin,Asian,Damage/Defacing/Destruction of Property,1900  2nd ST NW Washington DC,"1900, 2nd Street Northwest, Shaw, Common Good Farm, Washington, District of Columbia, 20001, United States",38.916395,-77.014536,20001
2019-03-04,1750,2019-03-04,2019,3,19037251,2,1400 B/O 16th St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,1400  16th St NW Washington DC,"Embassy of El Salvador, 1400, 16th Street Northwest, Dupont Circle, Washington, District of Columbia, 20036, United States",38.9089875,-77.036939,20036
2019-03-05,1303,2019-03-05,2019,3,19037814,1,1500 B/O E St SE,Race,White,Damage/Defacing/Destruction of Property,1500  E St SE Washington DC,"1500, E Street Southeast, Hill East, Washington, District of Columbia, 20003, United States",38.882918,-76.983492,20003
2019-03-06,203,2019-03-06,2019,3,19038064,2,1200 B/O Connecticut Ave NW,Sexual Orientation,Not Reported,Simple Assault,1200  Connecticut Ave NW Washington DC,"1200, Connecticut Avenue Northwest, Golden Triangle, Washington, District of Columbia, 20036, United States",38.906537,-77.041751,20015
2019-03-07,1749,2019-03-07,2019,3,19039083,5,Unit B/O Florida Ave  NE,Gender Identity/Expression,Not Reported,Threats,Florida Ave NE Washington DC,"Florida Avenue Northeast, Washington, District of Columbia, 20242, United States",38.9074746,-77.0012407,20002
2019-03-10,404,2019-03-10,2019,3,19040518,5,Unit B/O New York Ave NE,Sexual Orientation,Not Reported,Simple Assault,  New York Ave NE Washington DC,"New York Avenue Northeast, Ivy City, Washington, District of Columbia, 20001, United States",38.9147319,-76.9879373,20002
2019-03-10,2251,2019-03-10,2019,3,19040901,2,4500 B/O Wisconsin Ave NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault,4500  Wisconsin Ave NW Washington DC,"Target, 4500, Wisconsin Avenue Northwest, Tenleytown, American University Park, Washington, District of Columbia, 20016, United States",38.9482423,-77.0803691,20016
2019-03-08,1430,2019-03-11,2019,3,19040975,2,900 B/O 23rd St NW,Race,Black,Damage/Defacing/Destruction of Property,900  23rd St NW Washington DC,"George Washington University Hospital, 900, 23rd Street Northwest, George Washington University, Washington, District of Columbia, 20037, United States",38.9014106,-77.05060019254144,20037
2019-03-08,728,2019-03-15,2019,3,19043928,1,200 B/O H St NW,Ethnicity/National Origin,Arab/Middle Eastern,Threats,200  H St NW Washington DC,"H St NW, Foggy Bottom, Washington, District of Columbia, 20037, United States",38.8995791,-77.0531535,20037
2019-03-11,1147,2019-03-15,2019,3,19043761,1,800 B/O 8th St NW,Ethnicity/National Origin,Jewish,Threats,800  8th St NW Washington DC,"Schusterman International Center, 800, 8th Street Northwest, Downtown, Washington, District of Columbia, 20001, United States",38.90004135,-77.02319489296855,20001
2019-03-15,213,2019-03-15,2019,3,19043676,3,1900 B/O 14th St NW,Sexual Orientation,Not Reported,Simple Assault,1900  14th St NW Washington DC,"1900, 14th Street Northwest, Cardozo/Shaw, Washington, District of Columbia, 2005, United States",38.9157027,-77.0322117,20009
2019-03-15,811,2019-03-15,2019,3,19043732,1,Unit B/O K St NW,Ethnicity/National Origin,Latino/Hispanic,Threats,  K St NW Washington DC,"K Street Northwest, Golden Triangle, Washington, District of Columbia, 20006-5346, United States",38.9025235,-77.0429455,20006
2019-03-15,1614,2019-03-15,2019,3,19043993,6,4200 B/O Edson Pl NE,Ethnicity/National Origin,Black,Simple Assault,4200  Edson Pl NE Washington DC,"4200, Edson Place Northeast, Central Northeast, Washington, District of Columbia, 20019, United States",38.8968743,-76.9422978,20019
2019-03-09,1954,2019-03-16,2019,3,19044824,2,1900 B/O K St NW,Sex/Gender,Female,Threats,1900  K St NW Washington DC,"1900, K Street Northwest (access road), Golden Triangle, Washington, District of Columbia, 20006, United States",38.902442,-77.043615,20006
2019-03-15,1545,2019-03-18,2019,3,19045789,2,1100 B/O 19th St NW,Gender Identity/Expression,Not Reported,Threats,1100  19th St NW Washington DC,"1100, 19th Street Northwest, Golden Triangle, Washington, District of Columbia, 20036, United States",38.903868,-77.043558,20005
2019-03-19,1757,2019-03-19,2019,3,19046574,2,Unit B/O Washington Cir NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,  Washington Cir NW Washington DC,"Washington Circle NW, Washington, District of Columbia, 20036-5305, United States",38.9029417,-77.0496623,20036
2019-03-20,2152,2019-03-20,2019,3,19047353,5,1700 B/O Lincoln Rd NE,Sexual Orientation,Not Reported,Threats,1700  Lincoln Rd NE Washington DC,"1700, Lincoln Road Northeast, Washington, District of Columbia, 20002, United States",38.91273,-77.008601,20002
2019-03-22,1421,2019-03-22,2019,3,19048300,4,7500 B/O Georgia Ave NW,Gender Identity/Expression,Not Reported,Threats,7500  Georgia Ave NW Washington DC,"7500, Georgia Avenue Northwest, Takoma, Washington, District of Columbia, 20012, United States",38.981396,-77.0268409,20012
2019-03-24,23,2019-03-24,2019,3,19049304,2,2200 B/O I St NW,Ethnicity/National Origin,Asian,Simple Assault,2200  I St NW Washington DC,"2200, I Street Northwest, George Washington University, Washington, District of Columbia, 20037, United States",38.900611,-77.04898,20052
2019-03-24,1600,2019-03-24,2019,3,19049685,3,1700 B/O Columbia Rd NW,Sexual Orientation,Not Reported,Threats,1700  Columbia Rd NW Washington DC,"Ontario 17, 1700, Columbia Road Northwest, Washington, District of Columbia, 20009, United States",38.92458325,-77.03931988363308,20009
2019-03-22,2000,2019-03-26,2019,3,19051011,4,1500 B/O Ogden St NW,Ethnicity/National Origin,Jamaican,Simple Assault,1500  Ogden St NW Washington DC,"Ogden Market, 1500, Ogden Street Northwest, Columbia Heights, Washington, District of Columbia, 20010, United States",38.9353976,-77.034944,20010
2019-03-26,1515,2019-03-26,2019,3,19050952,3,1800 B/O Kalorama Rd NW,Sexual Orientation,Not Reported,Damage/Defacing/Destruction of Property,1800  Kalorama Rd NW Washington DC,"1800, Kalorama Road Northwest, Adams Morgan, Washington, District of Columbia, 20009, United States",38.919577,-77.041859,20009
2019-03-26,1743,2019-03-26,2019,3,19050983,2,Unit B/O Dupont Cir NW,Sexual Orientation,Not Reported,Simple Assault,  Dupont Cir NW Washington DC,"Dupont Circle Northwest, Dupont Circle and surrunding block, Dupont Circle, Washington, District of Columbia, 20036, United States",38.9091496,-77.0439183,20036
2019-03-27,803,2019-03-27,2019,3,19051332,2,2400 B/O K St NW,Race,White,Simple Assault,2400  K St NW Washington DC,"K Street NW (access road), Golden Triangle, Washington, District of Columbia, 20006-5346, United States",38.9023954,-77.0424297,20006
2019-03-28,1836,2019-03-28,2019,3,19052430,1,400 B/O H St NE,Ethnicity/National Origin,Asian,Simple Assault,400  H St NE Washington DC,"Driftwood Kitchen, 400, H Street Northeast, Near Northeast, Washington, District of Columbia, 20002, United States",38.9003609,-77.000383,20002
2019-03-29,1120,2019-03-29,2019,3,19052770,2,4900 B/O Massachusetts Ave NW,Religion,Jewish,Stalking,4900  Massachusetts Ave NW Washington DC,"United Bank, 4900, Massachusetts Avenue Northwest, Spring Valley, American University Park, Washington, District of Columbia, 20016, United States",38.9457008,-77.0971701,20016
2019-03-30,1503,2019-03-30,2019,3,19053554,6,1700 B/O 28th ST SE,Sexual Orientation,Not Reported,Simple Assault,1700  28th ST SE Washington DC,"1700, 28th Street Southeast, Randle Highlands, Washington, District of Columbia, 20020, United States",38.869352,-76.967668,20020
2019-03-31,1347,2019-03-31,2019,3,19054139,3,2600 B/O 14th ST NW,Race,White,Robbery,2600  14th ST NW Washington DC,"BP, 2600, 14th Street Northwest, Columbia Heights, Washington, District of Columbia, 20009, United States",38.92384615,-77.0324284474172,20009
2019-04-02,2102,2019-04-02,2019,4,19055711,6,4400 B/O Nannie Helen Burroughs Ave NE,Sexual Orientation,Not Reported,Threats,4400  Nannie Helen Burroughs Ave NE Washington DC,"4400, Nannie Helen Burroughs Avenue Northeast, Washington, District of Columbia, 20019, United States",38.900574,-76.938997,20019
2019-04-03,30,2019-04-03,2019,4,19055784,3,Unit B/O O St NW,Race,White,Threats,O St NW Washington DC,"O Street Northwest, Truxton Circle, Washington, District of Columbia, 20554, United States",38.90857,-77.0136668,20001
2019-04-04,502,2019-04-04,2019,4,19056514,7,1900 B/O 14th St SE,Gender Identity/Expression,Not Reported,Simple Assault,1900  14th St SE Washington DC,"1900, 14th Street Southeast, Fairlawn, Washington, District of Columbia, 20020, United States",38.867461,-76.985013,20020
2019-04-04,945,2019-04-04,2019,4,19056606,1,600 B/O Pennsylvania Ave SE,Race,Black,Simple Assault,600  Pennsylvania Ave SE Washington DC,"Citibank, 600, Pennsylvania Avenue Southeast, Capitol Hill, Washington, District of Columbia, 20003, United States",38.8856741,-76.9977061,20003
2019-04-05,1350,2019-04-05,2019,4,19057387,4,Unit B/O Rock Creek Church Rd NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,  Rock Creek Church Rd NW Washington DC,"Rock Creek Church Road Northwest, Washington, District of Columbia, 20010, United States",38.943229,-77.012438,20010
2019-04-06,1711,2019-04-06,2019,4,19058173,3,800 B/O Florida Ave NW,Sexual Orientation,Not Reported,ADW,800  Florida Ave NW Washington DC,"Florida Avenue Northwest, 9th St NW-13th St NW, Washington DC, Washington, District of Columbia, 20060, United States",38.9200091,-77.0254523,20060
2019-04-07,500,2019-04-07,2019,4,19058545,5,1300 B/O New York Ave NE,Ethnicity/National Origin,Latino/Hispanic,Robbery,1300  New York Ave NE Washington DC,"1300, New York Avenue Northeast, Ivy City, Washington, District of Columbia, 20002, United States",38.914866,-76.987831,20002
2019-04-10,1704,2019-04-10,2019,4,19060853,1,800 B/O H St NW,Ethnicity/National Origin,Asian,Simple Assault,800  H St NW Washington DC,"800, H Street Northwest, Chinatown, Washington, District of Columbia, 20001, United States",38.899731,-77.023102,20001
2019-04-11,1450,2019-04-11,2019,4,19061408,2,3600 B/O Connecticut Ave NW,Race,White,Threats,3600  Connecticut Ave NW Washington DC,"3600, Connecticut Avenue Northwest, Northwest, Cleveland Park, Washington, District of Columbia, 20008, United States",38.936903,-77.059401,20015
2019-04-14,1527,2019-04-14,2019,4,19063340,3,1900 B/O 16th St NW,Sexual Orientation,Not Reported,Simple Assault,1900  16th St NW Washington DC,"New Hampshire Market, 1900, 16th Street Northwest, Greater U Street Historic District, Dupont Circle, Washington, District of Columbia, 20012, United States",38.9157179,-77.0368553,20012
2019-04-17,1800,2019-04-18,2019,4,19065707,3,1000 B/O N St NW,Race,White,Threats,1000  N St NW Washington DC,"1000, N Street Northwest, Logan Circle/Shaw, Washington, District of Columbia, 20001, United States",38.907157,-77.026143,20001
2019-04-20,1038,2019-04-20,2019,4,19067061,6,3700 B/O Hayes St NE,Race,White,Threats,3700  Hayes St NE Washington DC,"3700, Hayes Street Northeast, Mayfair, Washington, District of Columbia, 20019, United States",38.9035526,-76.9486963,20019
2019-04-20,927,2019-04-20,2019,4,19067093,3,100 B/O V St NW,Race,White,Threats,100  V St NW Washington DC,"100, V Street Northwest, Bloomingdale, Common Good Farm, Washington, District of Columbia, 20001, United States",38.918028,-77.012299,20001
2019-04-22,1616,2019-04-24,2019,4,19068350,6,4400 B/O Nannie Helen Burroughs Ave NE,Sexual Orientation,Not Reported,Threats,4400  Nannie Helen Burroughs Ave NE Washington DC,"4400, Nannie Helen Burroughs Avenue Northeast, Washington, District of Columbia, 20019, United States",38.900574,-76.938997,20019
2019-04-24,1717,2019-04-24,2019,4,19069797,2,2300 B/O M St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,2300  M St NW Washington DC,"Medical Faculty Association GWU, 2300, M Street Northwest, West End, Washington, District of Columbia, 20007, United States",38.9050601,-77.0504838,20007
2019-04-24,800,2019-04-25,2019,4,19070560,3,1800 B/O Columbia Rd NW,Race,Black,Displaying Symbols,1800  Columbia Rd NW Washington DC,"1800, Columbia Road Northwest, Adams Morgan, Washington, District of Columbia, 20009, United States",38.922519,-77.042737,20009
2019-04-23,1700,2019-04-26,2019,4,19071007,2,1800 B/O M St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property,1800  M St NW Washington DC,"Capital One, 1800, M Street Northwest, Golden Triangle, Washington, District of Columbia, 20036, United States",38.905422,-77.0422081,20036
2019-04-27,200,2019-04-27,2019,4,19071546,3,600 B/O Florida Ave NW,Sexual Orientation,Not Reported,Simple Assault,600  Florida Ave NW Washington DC,"Rito Loco, 600, Florida Avenue Northwest, Shaw, Common Good Farm, Washington, District of Columbia, 20001, United States",38.915408,-77.020389,20060
2019-04-27,2305,2019-04-28,2019,4,19072120,3,900 B/O U St NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault,900  U St NW Washington DC,"900, U Street Northwest, Greater U Street Historic District, Washington, District of Columbia, 20001, United States",38.916912,-77.024114,20009
2019-04-03,1851,2019-04-30,2019,4,19056247,2,3800 B/O Beecher St NW,Ethnicity/National Origin,Jewish,Threats,3800  Beecher St NW Washington DC,"3800, Beecher St NW, Glover Park, Washington, District of Columbia, 20007, United States",38.921737,-77.074411,20007
